CODIGO_CLIENTE,FLAG_ATRASO
10002278,0
10006320,0
10013261,0
10018751,0
10019430,0
10020845,0
10021752,1
10026088,0
10029290,0
10031251,0
10032878,0
10036709,1
10038507,0
10039686,0
1004220,0
10045406,0
10047492,0
10047557,1
10052615,0
10060111,1
10061630,0
10074872,0
10075429,1
10080716,0
10082085,1
10084827,0
10086285,0
10090134,0
10112596,0
10112766,0
10112782,0
10113452,0
10115129,0
10115315,1
10116320,0
10117520,0
10119787,0
10127470,0
10127810,0
10142460,0
10144463,0
10149619,0
10156780,0
10161,0
10161163,0
10166360,0
10166726,0
10169792,0
10173323,1
10173692,0
10179070,0
10180133,0
10180494,0
10181717,0
10181806,1
10184180,0
10184317,0
10190333,0
10192247,0
10195777,0
10196641,1
10200452,0
10200711,0
10200800,0
10206426,0
10210199,0
10212590,0
10213643,0
10214399,0
10214585,0
10215727,0
10215808,0
10218386,0
10221948,0
10227334,0
10230530,0
10231544,1
10233520,0
10236910,0
1024065,0
102411,0
10244344,1
10251472,0
1025287,0
10256750,1
1025981,0
1026304,0
10265627,0
10266232,0
10269045,1
10269142,0
10269347,0
10270434,0
10270841,0
10274421,0
10274804,0
1028727,1
10293833,0
10296000,0
10296174,0
10297014,0
10300171,0
10300872,0
10301496,0
10301798,0
10305890,0
10315284,0
10318186,0
10320431,0
10324038,0
10325042,0
10328009,1
10328866,0
10329625,1
10339884,0
10347500,1
10348123,1
10348638,0
10353674,0
10356452,0
10359001,0
10359613,0
10361383,0
10363050,0
10364811,1
10365753,0
10369309,0
10370277,0
10370420,0
10370854,0
10371109,0
10379754,0
10382704,0
10383778,0
10385312,0
10385509,0
10390944,0
10399046,1
10401008,0
10401610,1
10404996,0
1040569,0
10406778,0
10410066,0
10410309,0
10414126,1
10415807,0
10417630,0
10419101,0
10419802,0
10422820,0
10422951,0
10423826,0
10425802,0
10428267,0
10428836,0
1043277,1
10434178,0
10440844,0
10441573,0
10444874,0
10445455,0
10446575,1
10447695,0
10448160,0
10448640,0
10448810,0
10449388,0
1045107,0
10451668,0
10453067,0
10454900,0
10460527,0
10460675,0
10460845,0
10463461,1
10465111,0
10466754,0
10469133,0
10473548,1
10474633,1
10475621,0
1047603,0
10481192,0
10481303,0
10482776,0
10484531,0
10487425,0
10497668,0
10500332,0
10500987,1
10503803,0
105040,0
10504028,0
10504400,1
10505709,0
10506233,0
10506390,1
10506756,0
10508384,0
10508562,0
10512420,0
10516840,1
10517014,1
10519823,0
10519998,0
10524193,0
10524509,1
10525254,0
10525475,0
10526501,0
10528113,1
10532625,0
10532781,1
105356,0
10538550,0
10539930,0
10542302,0
10544046,0
105442,0
10545506,0
10548645,0
1055054,0
10553657,0
10554025,0
10554955,0
10557997,0
10559507,1
10562354,0
